name,genre,all_reviews,tone
Pixel Gear,"Action,Indie","5 user reviews,- Need more user reviews to generate a score",NA
Zombie Buster VR,Action,"Positive,(18),- 83% of the 18 user reviews for this game are positive.",NA
Chess of Blades,"Casual,Indie","Positive,(43),- 95% of the 43 user reviews for this game are positive.",NA
Pixel Arcade,"Action,Adventure,Casual,Indie,Simulation","8 user reviews,- Need more user reviews to generate a score",NA
Mean Routine,"Adventure,Early Access","1 user reviews,- Need more user reviews to generate a score",NA
Rescue Quest Gold,Casual,"Positive,(27),- 85% of the 27 user reviews for this game are positive.",NA
Qbik,"Adventure,Casual,Indie","Positive,(27),- 92% of the 27 user reviews for this game are positive.",NA
Aesthetic Melody,"Action,Adventure,Indie","Positive,(31),- 90% of the 31 user reviews for this game are positive.",NA
Personal Disco VR,"Casual,Indie","Positive,(26),- 92% of the 26 user reviews for this game are positive.",NA
Fragmental,"Action,Indie","Positive,(16),- 93% of the 16 user reviews for this game are positive.",NA
TAPSONIC BOLD - Original Sound Track,"Action,Casual,Racing","Positive,(11),- 100% of the 11 user reviews for this game are positive.",NA
Suncore Chronicles: The Tower - Level 1,"Action,Adventure,Indie,RPG","1 user reviews,- Need more user reviews to generate a score",NA
Legend of Himari,"Casual,Indie","Positive,(44),- 93% of the 44 user reviews for this game are positive.",NA
Awesomenauts - Dark Masquerade Qi'Tara Skin,"Action,Indie,Strategy","2 user reviews,- Need more user reviews to generate a score",NA
Awesomenauts - Kunoichi Dizzy Skin,"Action,Free to Play,Indie,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
NEKOPARA Vol. 3 - Theme Song,"Casual,Indie","Positive,(38),- 100% of the 38 user reviews for this game are positive.",NA
Burst Fighter,"Action,Indie","Positive,(10),- 100% of the 10 user reviews for this game are positive.",NA
Two Worlds II - CoT Soundtrack,RPG,"1 user reviews,- Need more user reviews to generate a score",NA
Virtual Battlemap DLC - Modern Town,"Design & Illustration,Utilities","1 user reviews,- Need more user reviews to generate a score",NA
MineSweeper VR,"Action,Casual,Indie,Simulation","Positive,(28),- 82% of the 28 user reviews for this game are positive.",NA
Pyre: Original Soundtrack,"Action,Indie,RPG","Positive,(28),- 100% of the 28 user reviews for this game are positive.",NA
TANE DLC: Shortline Railroad,Simulation,"7 user reviews,- Need more user reviews to generate a score",NA
Break Stuff With Coins,"Action,Indie","5 user reviews,- Need more user reviews to generate a score",NA
Cave Digger: Riches DLC,"Action,Adventure,Casual,Free to Play,Indie","5 user reviews,- Need more user reviews to generate a score",NA
Rock of Ages 2 - Classic Pack + Soundtrack,"Action,Indie,Racing,Strategy","Positive,(12),- 83% of the 12 user reviews for this game are positive.",NA
The Mind's Eclipse,Indie,"Positive,(23),- 100% of the 23 user reviews for this game are positive.",NA
Drone Fighters,"Action,Indie,Simulation,Sports,Early Access","Positive,(13),- 100% of the 13 user reviews for this game are positive.",NA
Streetball VR - Soundtrack,"Simulation,Sports","2 user reviews,- Need more user reviews to generate a score",NA
Party Poopers,"Action,Casual,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Dreamstones,"Action,Indie,RPG","Positive,(33),- 84% of the 33 user reviews for this game are positive.",NA
Picross Touch - Donation Level 4,"Casual,Free to Play,Indie,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
Tormentor❌Punisher OST,"Action,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Class - Shaman,"Action,Adventure,Indie,Massively Multiplayer,RPG","Positive,(34),- 94% of the 34 user reviews for this game are positive.",NA
Red Bull Doodle Art - Global VR Gallery,"Adventure,Casual,Simulation,Design & Illustration","5 user reviews,- Need more user reviews to generate a score",NA
TS Marketplace: Horseshoe Curve Scenario Pack 01 Add-On,Simulation,"2 user reviews,- Need more user reviews to generate a score",NA
Train Simulator: InterCity BR Class 370 ‘APT-P’ Loco Add-On,Simulation,"Positive,(30),- 90% of the 30 user reviews for this game are positive.",NA
Train Simulator: RhB Enhancement Pack 02 Add-On,Simulation,"Positive,(19),- 89% of the 19 user reviews for this game are positive.",NA
Train Simulator: MRCE Dispolok Pack Loco Add-On,Simulation,"Positive,(11),- 90% of the 11 user reviews for this game are positive.",NA
TS Marketplace: Soldier Summit Scenario Pack 01 Add-On,Simulation,"1 user reviews,- Need more user reviews to generate a score",NA
Bunny Hop League - Map Pack 1,"Indie,Sports","5 user reviews,- Need more user reviews to generate a score",NA
ICED - Nightmares pack,"Action,Adventure,Indie,Simulation","3 user reviews,- Need more user reviews to generate a score",NA
DW8E: DW7 Original Costume Pack 1,Action,"1 user reviews,- Need more user reviews to generate a score",NA
DW8E: Old Costume Pack 4,Action,"5 user reviews,- Need more user reviews to generate a score",NA
DW8E: Old Costume Pack 3,Action,"2 user reviews,- Need more user reviews to generate a score",NA
DW8E: Old Costume Pack 2,Action,"1 user reviews,- Need more user reviews to generate a score",NA
DW8E: Special Costume Pack 2,Action,"2 user reviews,- Need more user reviews to generate a score",NA
DW8E: Old Costume Pack 1,Action,"1 user reviews,- Need more user reviews to generate a score",NA
DW8E: Special Costume Pack 1,Action,"1 user reviews,- Need more user reviews to generate a score",NA
The Charnel House Trilogy Demo,"Adventure,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Fatty Maze's Adventures,"Adventure,Casual,Indie,Simulation","2 user reviews,- Need more user reviews to generate a score",NA
Shelter 2 Soundtrack,"Adventure,Casual,Indie","Positive,(23),- 100% of the 23 user reviews for this game are positive.",NA
Shwip,"Action,Casual,Indie,Early Access","1 user reviews,- Need more user reviews to generate a score",NA
Kaos,"Action,RPG,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
Picross Touch - Donation Level 5,"Casual,Free to Play,Indie,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
MatchyGotchy - Fun Pack,"Casual,Indie,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
Space Duke,"Casual,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Avis Rapida - Aerobatic Racing,"Racing,Early Access","1 user reviews,- Need more user reviews to generate a score",NA
Earthquake Simulator VR,Simulation,"6 user reviews,- Need more user reviews to generate a score",NA
HAUNTED: Halloween '86 (The Curse Of Possum Hollow),"Action,Indie","6 user reviews,- Need more user reviews to generate a score",NA
Rangi,"Adventure,Casual,Indie","Positive,(12),- 100% of the 12 user reviews for this game are positive.",NA
Pinball Inside: A VR Arcade Game,"Casual,Indie","Positive,(42),- 85% of the 42 user reviews for this game are positive.",NA
Queen's Tales: The Beast and the Nightingale Collector's Edition,"Adventure,Casual","2 user reviews,- Need more user reviews to generate a score",NA
Holodrive - Founder's Pack,"Action,Free to Play,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Tiki Trials,"Action,Indie","8 user reviews,- Need more user reviews to generate a score",NA
Carcassonne - Winter and Gingerbread Man,"Casual,Strategy","4 user reviews,- Need more user reviews to generate a score",NA
Kingdom Two Crowns: Shogun,"Adventure,Indie,Simulation,Strategy","Positive,(24),- 95% of the 24 user reviews for this game are positive.",NA
THE ENIGMA MACHINE,Indie,"Positive,(29),- 96% of the 29 user reviews for this game are positive.",NA
In The Ember 余烬之中,"Indie,RPG","Positive,(12),- 100% of the 12 user reviews for this game are positive.",NA
Monster Hunter: World - Free Sticker Set: Mingle Hunter,Action,"Positive,(30),- 100% of the 30 user reviews for this game are positive.",NA
DW8E: DW7 Original Costume Pack 2,Action,"1 user reviews,- Need more user reviews to generate a score",NA
Monster Hunter: World - Gesture: Cool Dance,Action,"Positive,(10),- 100% of the 10 user reviews for this game are positive.",NA
Monster Hunter: World - Gesture: Hip Hop Dance,Action,"Positive,(14),- 100% of the 14 user reviews for this game are positive.",NA
PC Building Simulator - Overclocked Edition Content,"Indie,Simulation","Positive,(28),- 89% of the 28 user reviews for this game are positive.",NA
Book of Demons - Dungeons & Streamers,"Action,Adventure,Casual,Indie,RPG","2 user reviews,- Need more user reviews to generate a score",NA
A Plague Tale: Innocence - Coats of Arms DLC,Adventure,"Positive,(30),- 96% of the 30 user reviews for this game are positive.",NA
DYNASTY WARRIORS 9: Season Pass 2 / シーズンパス２,Action,"Positive,(15),- 93% of the 15 user reviews for this game are positive.",NA
Rivals of Aether: Arcade Maypul,Indie,"1 user reviews,- Need more user reviews to generate a score",NA
Deity Quest,"Adventure,Indie,RPG,Strategy","3 user reviews,- Need more user reviews to generate a score",NA
Rocketbirds 2: Mind Control DLC,"Action,Adventure,Indie","1 user reviews,- Need more user reviews to generate a score",NA
The Adventurer - Episode 1: Beginning of the End,"Adventure,Casual,Indie,RPG","Positive,(17),- 88% of the 17 user reviews for this game are positive.",NA
Miniballist,"Casual,Indie","3 user reviews,- Need more user reviews to generate a score",NA
ZHEROS - The forgotten land,"Action,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Paradigm - Official Soundtrack,"Adventure,Indie","4 user reviews,- Need more user reviews to generate a score",NA
Apocalypse Night,"Action,Adventure,Indie","5 user reviews,- Need more user reviews to generate a score",NA
Welcome to Moreytown,"Adventure,Indie,RPG","Positive,(33),- 84% of the 33 user reviews for this game are positive.",NA
Tomato Jones 2,"Action,Adventure,Casual,Indie,Simulation","Positive,(29),- 82% of the 29 user reviews for this game are positive.",NA
BattleSky VR,"Action,Indie,Early Access","Positive,(18),- 94% of the 18 user reviews for this game are positive.",NA
Time Recoil,"Action,Adventure,Indie,Sports","Positive,(39),- 82% of the 39 user reviews for this game are positive.",NA
Smashing The Battle VR,"Action,Casual","Positive,(20),- 90% of the 20 user reviews for this game are positive.",NA
Skedaddle,"Action,Adventure,Indie,Early Access","8 user reviews,- Need more user reviews to generate a score",NA
Microcosm,"Casual,Indie,Simulation,Early Access","1 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Stay night Model (Gilgamesh),Action,"4 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Stay night Model (Artoria),Action,"Positive,(19),- 94% of the 19 user reviews for this game are positive.",NA
Fate/EXTELLA - Stay night Model (Nameless),Action,"6 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Immoral Biker Jacket,Action,"3 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Formal King,Action,"3 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Black Bushin Super Skeleton,Action,"2 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Flower Co-ordinator,Action,"3 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Young Lancer,Action,"3 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - British Waiter,Action,"1 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Mr. Li's Ruffian Get-Up,Action,"1 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Slash and Connect,Action,"4 user reviews,- Need more user reviews to generate a score",NA
Zombiotik,"Action,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Deus Ex Machina - The Best Game You Never Played in Your Life - pdf,Indie,"1 user reviews,- Need more user reviews to generate a score",NA
Cursed Sight Demo,Indie,"Positive,(26),- 84% of the 26 user reviews for this game are positive.",NA
Dreadnought Outlaw Hoard DLC,"Action,Free to Play,Massively Multiplayer","Positive,(13),- 84% of the 13 user reviews for this game are positive.",NA
Will Glow the Wisp,"Action,Indie","Positive,(15),- 86% of the 15 user reviews for this game are positive.",NA
Pinball FX3 - Medieval Pack,Simulation,"4 user reviews,- Need more user reviews to generate a score",NA
Chess Ultra: Santa Monica Game Pack,"Casual,Indie,Simulation,Sports,Strategy","4 user reviews,- Need more user reviews to generate a score",NA
TS Marketplace: VGA/VKA Wagon Pack Add-On,Simulation,"1 user reviews,- Need more user reviews to generate a score",NA
Renowned Explorers: More To Explore,"Adventure,Indie,RPG,Strategy","Positive,(40),- 95% of the 40 user reviews for this game are positive.",NA
Cosmic Star Heroine Official Soundtrack,"Indie,RPG","1 user reviews,- Need more user reviews to generate a score",NA
Fate/EXTELLA - Girl from Orléans,Action,"6 user reviews,- Need more user reviews to generate a score",NA
Sephirothic Stories,RPG,"2 user reviews,- Need more user reviews to generate a score",NA
Immortal Redneck - Digital Artbook,"Action,Indie","3 user reviews,- Need more user reviews to generate a score",NA
Asteroid Defender!,"Action,Indie,Early Access","1 user reviews,- Need more user reviews to generate a score",NA
Castlevania: Lords of Shadow 2 - Armored Dracula Costume,"Action,Adventure","Positive,(14),- 85% of the 14 user reviews for this game are positive.",NA
Rocksmith® 2014 Edition – Remastered – DragonForce - “Through the Fire and Flames”,"Casual,Simulation","3 user reviews,- Need more user reviews to generate a score",NA
Rocksmith® 2014 Edition – Remastered - The Gaslight Anthem - “45”,"Casual,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
Labyrinthian,"Adventure,Casual,Indie","8 user reviews,- Need more user reviews to generate a score",NA
Chunky Orbits,Simulation,"Positive,(12),- 91% of the 12 user reviews for this game are positive.",NA
CONTINUE,"Action,Adventure,Indie","5 user reviews,- Need more user reviews to generate a score",NA
Bestseller: Curse of the Golden Owl,"Adventure,Casual","1 user reviews,- Need more user reviews to generate a score",NA
Peak Angle: Drift Online - Russian Cars Pack,"Massively Multiplayer,Racing,Simulation,Sports","1 user reviews,- Need more user reviews to generate a score",NA
Hack_me 2 - Wallpapers,"Indie,Simulation","6 user reviews,- Need more user reviews to generate a score",NA
Boruto: Naruto The Movie,NA,"Positive,(13),- 84% of the 13 user reviews for this video are positive.",NA
Riders of Icarus - Legendary Veiled Corruption Package,"Adventure,Free to Play,Massively Multiplayer,RPG","2 user reviews,- Need more user reviews to generate a score",NA
Sort 'Em,"Casual,Indie,Simulation,Early Access","Positive,(11),- 81% of the 11 user reviews for this game are positive.",NA
Western Bank VR,"Action,Adventure,Casual","4 user reviews,- Need more user reviews to generate a score",NA
Return of Red Riding Hood Enhanced Edition,"Adventure,Casual,Indie","Positive,(19),- 94% of the 19 user reviews for this game are positive.",NA
Don't Get Hit In The Face,"Action,Indie","Positive,(10),- 100% of the 10 user reviews for this game are positive.",NA
Blackwake Official Soundtrack,"Action,Casual,Indie,Strategy","Positive,(21),- 100% of the 21 user reviews for this game are positive.",NA
Reflection of Mine - Soundtrack,"Adventure,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Pen Island VR,"Action,Indie","5 user reviews,- Need more user reviews to generate a score",NA
CAFE 0 ~The Sleeping Beast~,"Adventure,Casual,Indie","Positive,(28),- 85% of the 28 user reviews for this game are positive.",NA
Super Ninja Hero VR,"Action,Adventure,Indie","8 user reviews,- Need more user reviews to generate a score",NA
Arcane,Action,"9 user reviews,- Need more user reviews to generate a score",NA
Trainz Route: Niddertalbahn,Simulation,"7 user reviews,- Need more user reviews to generate a score",NA
Legacy of the Elder Star Soundtrack,"Action,Indie","1 user reviews,- Need more user reviews to generate a score",NA
Disgraced Role Playing Game DLC,"Action,Adventure,Indie,RPG,Simulation,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
Seraph - Soundtrack (OST),Action,"1 user reviews,- Need more user reviews to generate a score",NA
Anykey Simulator OST,"Indie,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
Dead Beats: Soundtrack of Dead,Action,"1 user reviews,- Need more user reviews to generate a score",NA
Lucius Demake - Soundtrack,"Action,Adventure,Casual,Indie","3 user reviews,- Need more user reviews to generate a score",NA
Outrageous Grounds: The Maze,"Action,Adventure,Early Access","8 user reviews,- Need more user reviews to generate a score",NA
The Seven Years War (1756-1763) - Pomeranian War,Strategy,"1 user reviews,- Need more user reviews to generate a score",NA
Of Gods and Men: The Daybreak Empire,"Indie,RPG,Strategy","Positive,(27),- 81% of the 27 user reviews for this game are positive.",NA
Harmony of the bravest,"Indie,RPG","1 user reviews,- Need more user reviews to generate a score",NA
cloudphobia,"Action,Indie","Positive,(10),- 90% of the 10 user reviews for this game are positive.",NA
Saboteur!,"Action,Adventure,Indie","Positive,(16),- 87% of the 16 user reviews for this game are positive.",NA
Ninjin: Clash of Carrots,"Action,Adventure,Indie,RPG","Positive,(26),- 100% of the 26 user reviews for this game are positive.",NA
Necrolance,"Action,Adventure,Indie","6 user reviews,- Need more user reviews to generate a score",NA
Duke of Defense,"Casual,Strategy","Positive,(15),- 100% of the 15 user reviews for this game are positive.",NA
Space Hole 2018,"Adventure,Indie","8 user reviews,- Need more user reviews to generate a score",NA
Doodler,"Casual,Indie","Positive,(32),- 93% of the 32 user reviews for this game are positive.",NA
Ninja Senki DX,"Action,Indie","Positive,(40),- 80% of the 40 user reviews for this game are positive.",NA
Link Twin,"Casual,Indie","7 user reviews,- Need more user reviews to generate a score",NA
Quarries of Scred,"Action,Indie","Positive,(20),- 95% of the 20 user reviews for this game are positive.",NA
Sleep Tight,"Action,Indie,Strategy","Positive,(21),- 80% of the 21 user reviews for this game are positive.",NA
Super Rocket Shootout,"Action,Indie","Positive,(15),- 80% of the 15 user reviews for this game are positive.",NA
Cheap Golf,"Action,Indie,Sports","Positive,(21),- 95% of the 21 user reviews for this game are positive.",NA
Choppa,"Action,Casual,Indie","Positive,(24),- 91% of the 24 user reviews for this game are positive.",NA
Stardust Vanguards,"Action,Indie","Positive,(42),- 85% of the 42 user reviews for this game are positive.",NA
Dragon Fantasy: The Volumes of Westeria,RPG,"Positive,(18),- 94% of the 18 user reviews for this game are positive.",NA
Moonrise Fall,"Adventure,Indie","5 user reviews,- Need more user reviews to generate a score",NA
The 25th Ward: The Silver Case / シルバー事件２５区,Adventure,"Positive,(45),- 95% of the 45 user reviews for this game are positive.",NA
Gensokyo Defenders / 幻想郷ディフェンダーズ / 幻想鄉守護者,"Action,Strategy","Positive,(28),- 100% of the 28 user reviews for this game are positive.",NA
RPG Maker MV - The Music Box: Japanese Horror,"Design & Illustration,Web Publishing","4 user reviews,- Need more user reviews to generate a score",NA
RPG Maker MV - Discovered Space Planets,"Design & Illustration,Web Publishing","1 user reviews,- Need more user reviews to generate a score",NA
RPG Maker MV - Modern Day Menace Battlers,"Design & Illustration,Web Publishing","2 user reviews,- Need more user reviews to generate a score",NA
RPG Maker MV - Paranormal Monsters,"Design & Illustration,Web Publishing","1 user reviews,- Need more user reviews to generate a score",NA
Cinderella Phenomenon Digital Artbook,"Free to Play,Indie,Simulation","4 user reviews,- Need more user reviews to generate a score",NA
The Wild Eternal - Original Soundtrack,Adventure,"2 user reviews,- Need more user reviews to generate a score",NA
Lisssn,Adventure,"7 user reviews,- Need more user reviews to generate a score",NA
Kaz Ball,"Action,Simulation,Sports,Early Access","9 user reviews,- Need more user reviews to generate a score",NA
Dark Strokes: The Legend of the Snow Kingdom Collector’s Edition,"Adventure,Casual,Indie","Positive,(17),- 100% of the 17 user reviews for this game are positive.",NA
Cursed Lands,RPG,"Positive,(42),- 80% of the 42 user reviews for this game are positive.",NA
Arma 3 Tac-Ops AAR,NA,"Positive,(15),- 86% of the 15 user reviews for this series are positive.",NA
Trianga's Project: Battle Splash 2.0,"Action,Casual,Indie,Early Access","Positive,(40),- 97% of the 40 user reviews for this game are positive.",NA
CHOP,"Action,Indie,Early Access","5 user reviews,- Need more user reviews to generate a score",NA
Car Mechanic Simulator 2018 - RAM DLC,"Racing,Simulation","8 user reviews,- Need more user reviews to generate a score",NA
My Life as a Maiden,"Casual,Simulation","Positive,(45),- 93% of the 45 user reviews for this game are positive.",NA
"Peace, Death! Hand of F","Casual,Indie,Simulation","Positive,(29),- 96% of the 29 user reviews for this game are positive.",NA
Cloud Chasers - Journey of Hope,"Adventure,Casual,Indie","3 user reviews,- Need more user reviews to generate a score",NA
Yissa Deep Realms,"Action,Adventure,Indie","Positive,(19),- 94% of the 19 user reviews for this game are positive.",NA
Meme Dragons,"Action,Indie,Early Access","Positive,(17),- 82% of the 17 user reviews for this game are positive.",NA
EVE Online: Star Pack,"Action,Free to Play,Massively Multiplayer,RPG,Strategy","7 user reviews,- Need more user reviews to generate a score",NA
Freshly fried shrimps seemed hot additionally named noth,"Indie,RPG","1 user reviews,- Need more user reviews to generate a score",NA
Medieval Battle: Europe,Strategy,"1 user reviews,- Need more user reviews to generate a score",NA
Pegasus Door,Action,"1 user reviews,- Need more user reviews to generate a score",NA
Timension,"Adventure,Strategy,Early Access","Positive,(23),- 86% of the 23 user reviews for this game are positive.",NA
Thunder Kid,Action,"Positive,(12),- 100% of the 12 user reviews for this game are positive.",NA
Lets Beats,"Action,Casual,Indie","Positive,(30),- 93% of the 30 user reviews for this game are positive.",NA
Adventure Craft,"Action,Adventure,Indie,RPG,Early Access","Positive,(43),- 86% of the 43 user reviews for this game are positive.",NA
Jet Racing Extreme: The First Encounter,"Action,Indie,Racing,Simulation,Sports","Mostly Positive,(63),- 71% of the 63 user reviews for this game are positive.",Mostly Positive
Fantasia of the Wind 2 风之幻想曲 第二部,"Adventure,Indie,RPG","Positive,(22),- 86% of the 22 user reviews for this game are positive.",NA
Star Sky 3 - ブルームーン 3,"Adventure,Casual,Indie,Simulation","Positive,(11),- 100% of the 11 user reviews for this game are positive.",NA
きりたんvsカニたん -ずんだもちを防衛せよ！-,"Simulation,Strategy,Early Access","9 user reviews,- Need more user reviews to generate a score",NA
Spareware,"Action,Indie","Positive,(15),- 80% of the 15 user reviews for this game are positive.",NA
PICO PARK,"Action,Casual","Positive,(19),- 89% of the 19 user reviews for this game are positive.",NA
Sockman,"Action,Indie","Positive,(11),- 100% of the 11 user reviews for this game are positive.",NA
Digby Extreme,"Action,Casual,Indie","Positive,(33),- 87% of the 33 user reviews for this game are positive.",NA
Drizzlepath: Deja Vu,"Adventure,Casual,Indie","Positive,(39),- 89% of the 39 user reviews for this game are positive.",NA
Plenty: Skyhearth,"Action,Casual,Free to Play,Indie,RPG","Positive,(43),- 83% of the 43 user reviews for this game are positive.",NA
DELTAZEAL,Action,"Positive,(31),- 87% of the 31 user reviews for this game are positive.",NA
Planetary Dustoff,"Action,Indie,Early Access","Positive,(16),- 93% of the 16 user reviews for this game are positive.",NA
EndCycle VS,"Action,Indie,Early Access","Positive,(16),- 100% of the 16 user reviews for this game are positive.",NA
Pizza Titan Ultra,"Action,Adventure,Casual,Indie","Positive,(24),- 95% of the 24 user reviews for this game are positive.",NA
RefRain - prism memories -,"Action,Indie","Positive,(48),- 100% of the 48 user reviews for this game are positive.",NA
An Alien with a Magnet,"Adventure,Casual,Indie","3 user reviews,- Need more user reviews to generate a score",NA
NEONomicon,"Action,Casual,Indie","Positive,(41),- 80% of the 41 user reviews for this game are positive.",NA
Rocksmith® 2014 Edition – Remastered – Marilyn Manson Song Pack,"Casual,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
Rocksmith® 2014 Edition – Remastered – Peter Frampton - “Do You Feel Like We Do”,"Casual,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
Rocksmith® 2014 Edition – Remastered – Jim Croce - “Time in a Bottle”,"Casual,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
First Strike: Final Hour - Bonus Content,Indie,"3 user reviews,- Need more user reviews to generate a score",NA
First Strike: Final Hour - OST,Indie,"5 user reviews,- Need more user reviews to generate a score",NA
WILL: A Wonderful World - Soundtrack,"Adventure,Casual,Indie","Positive,(43),- 100% of the 43 user reviews for this game are positive.",NA
Talisman - Character Pack #13 - Goblin Shaman,"Indie,RPG,Strategy","2 user reviews,- Need more user reviews to generate a score",NA
Talisman - Character Pack #12 - Jester,"Indie,RPG,Strategy","2 user reviews,- Need more user reviews to generate a score",NA
Talisman - The City Expansion,"Indie,RPG,Strategy","Positive,(15),- 86% of the 15 user reviews for this game are positive.",NA
Talisman - Character Pack #11 - Illusionist,"Indie,RPG,Strategy","2 user reviews,- Need more user reviews to generate a score",NA
Talisman - Character Pack #10 - Shaman,"Indie,RPG,Strategy","9 user reviews,- Need more user reviews to generate a score",NA
Talisman - The Sacred Pool Expansion,"Indie,RPG,Strategy","7 user reviews,- Need more user reviews to generate a score",NA
Talisman - The Highland Expansion,"Indie,RPG,Strategy","7 user reviews,- Need more user reviews to generate a score",NA
Talisman - Character Pack #15 - Saracen,"Indie,RPG,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
Talisman - Character Pack #14 - Martial Artist,"Indie,RPG,Strategy","1 user reviews,- Need more user reviews to generate a score",NA
Talisman - The Dungeon Expansion,"Indie,RPG,Strategy","Positive,(16),- 87% of the 16 user reviews for this game are positive.",NA
99 Spirits - Weeping Demon's Bell,"Adventure,Indie","2 user reviews,- Need more user reviews to generate a score",NA
Home Sheep Home 2,"Action,Adventure,Casual,Indie","Positive,(32),- 100% of the 32 user reviews for this game are positive.",NA
Talisman - Character Pack #2 - Courtesan,"Indie,RPG,Strategy","5 user reviews,- Need more user reviews to generate a score",NA
RPG Maker VX Ace - Mythos Horror Resource Pack,"Design & Illustration,Web Publishing","4 user reviews,- Need more user reviews to generate a score",NA
Risen 3 - Uprising of the Little Guys,RPG,"1 user reviews,- Need more user reviews to generate a score",NA
Risen 3 - Adventure Garb,RPG,"1 user reviews,- Need more user reviews to generate a score",NA
Alvora Tactics,"Indie,RPG,Strategy","Positive,(37),- 89% of the 37 user reviews for this game are positive.",NA
Botlike - a robot's rampage,"Action,Indie,Early Access","Positive,(28),- 85% of the 28 user reviews for this game are positive.",NA
Aerofly FS 2 - Orbx - Innsbruck Airport,"Indie,Simulation","Positive,(14),- 92% of the 14 user reviews for this game are positive.",NA
TS Marketplace: PRR X23 Boxcar Wagon Pack Add-On,Simulation,"2 user reviews,- Need more user reviews to generate a score",NA
Aerofly FS 2 - Orbx - Chicago Meigs Field,"Indie,Simulation","6 user reviews,- Need more user reviews to generate a score",NA
FSX Steam Edition: Cessna® C188 AgTruck Add-On,Simulation,"1 user reviews,- Need more user reviews to generate a score",NA
Immortal Redneck - Original Soundtrack,"Action,Indie","2 user reviews,- Need more user reviews to generate a score",NA
Nightshade Soundtrack,Adventure,"1 user reviews,- Need more user reviews to generate a score",NA
CubeBall VR,"Casual,Indie,Simulation","1 user reviews,- Need more user reviews to generate a score",NA
The Cage,"Adventure,Casual,Indie,RPG,Strategy","Positive,(24),- 87% of the 24 user reviews for this game are positive.",NA
Agents of Mayhem - Carnage a Trois Skins Pack,Action,"6 user reviews,- Need more user reviews to generate a score",NA
Legal Action Pending DLC - Day One Edition,Action,"5 user reviews,- Need more user reviews to generate a score",NA
Agents of Mayhem - Bombshells Skins Pack,Action,"Positive,(11),- 90% of the 11 user reviews for this game are positive.",NA
Agents of Mayhem - Franchise Force Skins Pack,Action,"Positive,(41),- 90% of the 41 user reviews for this game are positive.",NA
Agents of Mayhem - Firing Squad Skins Pack,Action,"Positive,(10),- 100% of the 10 user reviews for this game are positive.",NA
Agents of Mayhem - Johnny Gat Agent Pack,Action,"Positive,(23),- 82% of the 23 user reviews for this game are positive.",NA
Agents of Mayhem - Lazarus Agent Pack,Action,"Positive,(23),- 91% of the 23 user reviews for this game are positive.",NA
100% Orange Juice - Kiriko & NoName Pack,"Indie,Strategy","Positive,(30),- 93% of the 30 user reviews for this game are positive.",NA
Wing Pro 6,Utilities,"5 user reviews,- Need more user reviews to generate a score",NA
Last Hours Of Jack,"Action,Adventure,Indie","Positive,(23),- 82% of the 23 user reviews for this game are positive.",NA
TileSetGenerator,"Design & Illustration,Utilities","3 user reviews,- Need more user reviews to generate a score",NA
Knightfall,"Action,Adventure,RPG,Early Access","Positive,(12),- 100% of the 12 user reviews for this game are positive.",NA
The Mimic,"Action,Adventure,Casual,Indie","6 user reviews,- Need more user reviews to generate a score",NA
TankBlitz,"Action,Adventure,Indie","Positive,(17),- 94% of the 17 user reviews for this game are positive.",NA
COMET STRIKE,"Action,Casual","1 user reviews,- Need more user reviews to generate a score",NA
SpellForce 2 Soundtrack,"Action,RPG","1 user reviews,- Need more user reviews to generate a score",NA
Battle Summoners VR,"Action,Indie,RPG,Simulation,Strategy,Early Access","Positive,(29),- 93% of the 29 user reviews for this game are positive.",NA
